Iteração 162: x = [1.00003326e+00 1.66294139e-05], f(x) = 1.2499584268109953, grad_norm = 1.1180155112660008, alpha = 2.0530310231465696e-07
Iteração 163: x = [1.00003346e+00 1.67320637e-05], f(x) = 1.2499581701906657, grad_norm = 1.1180153964999746, alpha = 2.0530310231465696e-07
Iteração 164: x = [1.00003367e+00 1.68347135e-05], f(x) = 1.2499579135703887, grad_norm = 1.11801528173396, alpha = 2.0530310231465696e-07
Iteração 165: x = [1.00003387e+00 1.69373634e-05], f(x) = 1.2499576569501643, grad_norm = 1.118015166967957, alpha = 2.0530310231465696e-07
Iteração 166: x = [1.00003408e+00 1.70400132e-05], f(x) = 1.2499574003299927, grad_norm = 1.1180150522019658, alpha = 2.0530310231465696e-07
Iteração 167: x = [1.00003429e+00 1.71426630e-05], f(x) = 1.2499571437098738, grad_norm = 1.1180149374359865, alpha = 2.0530310231465696e-07
Iteração 168: x = [1.00003449e+00 1.72453128e-05], f(x) = 1.2499568870898075, grad_norm = 1.1180148226700188, alpha = 2.0530310231465696e-07
Iteração 169: x = [1.00003470e+00 1.73479626e-05], f(x) = 1.249956630469794, grad_norm = 1.118014707904063, alpha = 2.0530310231465696e-07
Iteração 170: x = [1.00003490e+00 1.74506123e-05], f(x) = 1.2499563738498332, grad_norm = 1.1180145931381191, alpha = 2.0530310231465696e-07
Iteração 171: x = [1.00003511e+00 1.75532621e-05], f(x) = 1.2499561172299252, grad_norm = 1.1180144783721868, alpha = 2.0530310231465696e-07
Iteração 172: x = [1.00003531e+00 1.76559118e-05], f(x) = 1.2499558606100698, grad_norm = 1.1180143636062665, alpha = 2.0530310231465696e-07
Iteração 173: x = [1.00003552e+00 1.77585616e-05], f(x) = 1.249955603990267, grad_norm = 1.118014248840358, alpha = 2.0530310231465696e-07
Iteração 174: x = [1.00003572e+00 1.78612113e-05], f(x) = 1.2499553473705172, grad_norm = 1.1180141340744612, alpha = 2.0530310231465696e-07
Iteração 175: x = [1.00003593e+00 1.79638610e-05], f(x) = 1.2499550907508197, grad_norm = 1.1180140193085761, alpha = 2.0530310231465696e-07
Iteração 176: x = [1.00003613e+00 1.80665107e-05], f(x) = 1.2499548341311748, grad_norm = 1.1180139045427027, alpha = 2.0530310231465696e-07
Iteração 177: x = [1.00003634e+00 1.81691604e-05], f(x) = 1.2499545775115828, grad_norm = 1.1180137897768412, alpha = 2.0530310231465696e-07
Iteração 178: x = [1.00003654e+00 1.82718101e-05], f(x) = 1.2499543208920434, grad_norm = 1.1180136750109915, alpha = 2.0530310231465696e-07
Iteração 179: x = [1.00003675e+00 1.83744598e-05], f(x) = 1.2499540642725568, grad_norm = 1.1180135602451535, alpha = 2.0530310231465696e-07
Iteração 180: x = [1.00003695e+00 1.84771095e-05], f(x) = 1.2499538076531227, grad_norm = 1.1180134454793274, alpha = 2.0530310231465696e-07
Iteração 181: x = [1.00003716e+00 1.85797591e-05], f(x) = 1.2499535510337414, grad_norm = 1.118013330713513, alpha = 2.0530310231465696e-07
Iteração 182: x = [1.00003736e+00 1.86824088e-05], f(x) = 1.249953294414413, grad_norm = 1.1180132159477103, alpha = 2.0530310231465696e-07
Iteração 183: x = [1.00003757e+00 1.87850584e-05], f(x) = 1.249953037795137, grad_norm = 1.1180131011819194, alpha = 2.0530310231465696e-07
Iteração 184: x = [1.00003778e+00 1.88877080e-05], f(x) = 1.249952781175914, grad_norm = 1.1180129864161403, alpha = 2.0530310231465696e-07
Iteração 185: x = [1.00003798e+00 1.89903576e-05], f(x) = 1.2499525245567433, grad_norm = 1.1180128716503732, alpha = 2.0530310231465696e-07
